piloto,equipe,posição,condição,tempo_milisegundos,GP,localização
"Juan Pablo Montoya",McLaren,1,Finished,4468659,"Autodromo Nazionale di Monza",Monza
"Michael Schumacher",Ferrari,1,Finished,4491975,"Autodromo Nazionale di Monza",Monza
"Fernando Alonso",McLaren,1,Finished,4717806,"Autodromo Nazionale di Monza",Monza
"Kimi Raikkonen",Ferrari,1,Finished,4839066,"Circuit de Spa-Francorchamps",Spa
"Kimi Raikkonen",Ferrari,1,Finished,4903074,"Silverstone Circuit",Silverstone
"Felipe Massa",Ferrari,1,Finished,4979394,"Circuit de Spa-Francorchamps",Spa
"Fernando Alonso",Renault,1,Finished,5032413,"Suzuka Circuit",Suzuka
"Giancarlo Fisichella",Renault,1,Finished,5057336,"Albert Park Grand Prix Circuit",Melbourne
"Juan Pablo Montoya",McLaren,1,Finished,5069588,"Silverstone Circuit",Silverstone
"Kimi Raikkonen",McLaren,1,Finished,5074454,"Istanbul Park",Istanbul
